,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
1698,泡沫候補,['n'],ほうまつこうほ,泡,1323,8,[' bubble/foam/froth/head on beer]'],['あわ'],"['氵', '勹', '已']",['泡'],[7],['形声 Phonetic'],[1],[4698],[4640],['S'],沫,1312,8,[' bubble/foam/froth/head on beer]'],['あわ'],"['｜', '氵', '二', 'ハ', '木', '亠']",,,,,,,,候,126,10,"[' season/weather,', ' to be to do,', "" to serve (by a superior's side) to be to do]""]","['こう', 'そろ', 'そうろう', 'ふ']","['｜', '⺅', '矢']",['候'],[4],['形声 Phonetic'],[3],[82458],[82442],['P'],補,2148,12,[' assistant .../probationary ...]'],['ほ'],"['十', '衤', '用', '丶']",['補'],[6],['形声 Phonetic'],[2],[144396],[144371],['R'],泡沫,[' bubble on surface of liquid ephemeral/transient]'],['うたかた'],泡沫,[' bubble on surface of liquid ephemeral/transient]'],['うたかた']
1699,防遏手段,['n'],ぼうあつしゅだん,防,2515,7,[],[],"['方', '⻖']",['防'],[5],['形声 Phonetic'],[2],[153928],[133800],['R'],遏,2414,12,[],[],"['辶', '日', '勹', '匕']",,,,,,,,手,919,4,"["" hand/arm forepaw/foreleg handle hand/worker/help trouble/care/effort means/way/trick/move/technique/workmanship hand/handwriting kind/type/sort one's hands/one's possession 10. ability to cope 11. hand (of cards) 12. direction 13. move (in go, shogi, etc.)]""]",['て'],['手'],['手'],[1],['象形 Pictographic'],[4],[761851],[736309],['S'],段,1272,9,"[' variable measure of fabric (28.8 cm in width)/for kimonos', ' at least 10 m in length/for haori', ' at least27 m in length/for other clothes', ' at least06 m in length 300 tsubo (991.74 meters square,24506 acres) six ken (10.91 m),', ' step/stair/(flight of) steps/(row of) stitches/columns (of print) grade/rank/level counter for breaks in written language (or speech, etc.) dan/senior rank in martial arts, go, shogi, etc.]']","['たん', 'だん']","['｜', '殳', '几', '又']",['段'],[6],['会意 Com. Ideographic'],[3],[128815],[123176],['P'],防遏,[' prevention/preclusion]'],['ぼうあつ'],防遏,[' prevention/preclusion]'],['ぼうあつ']
1700,活字世論,['n'],かつじせろん,活,1338,9,[' living/life judo art of resuscitation action/activity]'],['かつ'],"['ノ', '口', '十', '氵', '舌']",['活'],[2],['形声 Phonetic'],[3],[243149],[242183],['S'],字,569,6,"[' section of village,', ' character (esp. kanji)/letter/written text handwriting/penmanship the ... word (e.g. ""the L word"" = ""love""),', ' Chinese courtesy name (name formerly given to adult Chinese men, used in place of their given name in formal situations) nickname section of a village]']","['あざ', 'じ', 'あざな']","['子', '宀']",['字'],[1],['会意 Com. Ideographic'],[4],[108230],[103301],['P'],世,12,5,"[' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' counter for generations epoch]']","['よ', 'せい']","['｜', '一', '世']",['世'],[3],['象形 Pictographic'],[4],[356337],[337799],['P'],論,2230,15,[' argument/discussion/dispute/controversy/discourse/debate theory (e.g. of evolution)/doctrine essay/treatise/comment]'],['ろん'],"['｜', '一', '言', '𠆢', '冊']",['論'],[6],['形声 Phonetic'],[3],[197415],[196158],['P'],活字,[' printing type/movable type printed text/print]'],['かつじ'],活字,[' printing type/movable type printed text/print]'],['かつじ']
1701,先決問題,['n'],せんけつもんだい,先,173,6,"[' a short while ago/a moment ago/just now/some time ago,', ' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' former/previous/old first move (in go, shogi, etc.)/opening move]']","['さっき', 'さき', 'せん']","['ノ', '土', '儿']",['先'],[1],['会意 Com. Ideographic'],[5],[350771],[349259],['R'],決,1303,7,[' decision/vote]'],['けつ'],"['氵', '人', '大', '二']",['決'],[3],['形声 Phonetic'],[3],[512014],[512014],['S'],問,397,11,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']","['口', '門']",['問'],[3],['会意 Com. Ideographic'],[4],[433896],[433569],['P'],題,2614,18,[' title/subject/theme/topic problem (on a test)/question counter for questions (on a test)]'],['だい'],"['貝', '目', 'ハ', '日', '疋', '頁']",['題'],[3],['形声 Phonetic'],[4],[312442],[312133],['P'],先決,[' deciding first/settling (a matter) first/first priority]'],['せんけつ'],先決,[' deciding first/settling (a matter) first/first priority]'],['せんけつ']
1702,通過儀礼,['n'],つうかぎれい,通,2398,10,"[' authority/expert/connoisseur/well-informed person counter for messages, letters, notes, documents, etc. understanding (esp. of male-female relations)/tact/insight supernatural powers/magical powers]']",['つう'],"['辶', '用', 'マ']",['通'],[2],['形声 Phonetic'],[4],[409067],[370160],['R'],過,2413,12,[' surplus-/excess-/over- per- (chemical with more of a certain element than found in other compounds of the same constituents)]'],['か'],"['口', '辶', '冂']",['過'],[5],['形声 Phonetic'],[3],[169936],[169936],['R'],儀,162,15,[' ceremony matter/affair with regard to/as for/as concerns]'],['ぎ'],"['一', '王', '⺅', '并', '羊', '亅', '戈', '手']",['儀'],[7],['形声 Phonetic'],[1],[25031],[24131],['P'],礼,1689,5,[' thanks/gratitude manners/etiquette bow reward/gift ceremony/ritual]'],['れい'],"['乙', '礻']",['礼'],[3],['形声 Phonetic'],[3],[17036],[14032],['P'],通過,"[' passing through (a tunnel, station, town, etc.)/passing by (e.g. of a typhoon)/transit passage (of a bill, e.g. through parliament)/carriage passing (an examination, inspection, etc.)/clearing]']",['つうか'],通過,"[' passing through (a tunnel, station, town, etc.)/passing by (e.g. of a typhoon)/transit passage (of a bill, e.g. through parliament)/carriage passing (an examination, inspection, etc.)/clearing]']",['つうか']
1703,通勤地獄,['n'],つうきんじごく,通,2398,10,"[' authority/expert/connoisseur/well-informed person counter for messages, letters, notes, documents, etc. understanding (esp. of male-female relations)/tact/insight supernatural powers/magical powers]']",['つう'],"['辶', '用', 'マ']",['通'],[2],['形声 Phonetic'],[4],[409067],[370160],['R'],勤,273,12,[],[],"['土', '力', '⺾', '口']",['勤'],[6],['形声 Phonetic'],[3],[36276],[33539],['S'],地,453,6,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality captured territory (in the game of go) 10. noh chorus 11. accompaniment music (in Japanese dance) 12. basic phrase (in Japanese music; usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']","['土', '也']",['地'],[2],['形声 Phonetic'],[4],[627071],[611473],['P'],獄,1534,14,[' jail/gaol/prison]'],['ごく'],"['言', '犭', '犬']",['獄'],[7],['会意 Com. Ideographic'],[1],[4149],[4109],['S'],通勤,[' commuting to work]'],['つうきん'],通勤,[' commuting to work]'],['つうきん']
1704,混雑具合,['n'],こんざつぐあい,混,1372,11,[' (traffic) congestion]'],['こん'],"['氵', '日', '比']",['混'],[5],['形声 Phonetic'],[2],[36692],[36692],['R'],雑,2557,14,"[' rough/crude/sloppy/messy miscellaneous,', ' miscellany (classification of Japanese poetry unrelated to the seasons or to love)]']","['ざつ', 'ぞう']","['木', '隹', '九']",['雑'],[5],['形声 Phonetic'],[3],[35155],[34932],['R'],具,191,8,"[' tool/means ingredients (added to soup, rice, etc.) counter for sets of armor, utensils, furniture, etc.,', ' wife my dear/dear/honey garnish (esp. one served with sashimi) embellishment]']","['ぐ', 'つま']","['一', 'ハ', '目']",['具'],[3],['会意 Com. Ideographic'],[3],[57111],[56159],['P'],合,342,6,"[' between-season wear/spring and autumn clothing/spring and fall clothing together condition/situation/state -ish,', ' gō/traditional unit of volume, approx.1804 litres gō/traditional unit of area, approx33 metres square one-tenth of the way from the base to the summit of a mountain conjunction sum/total synthesis (in dialectics) minor premise (in hetuvidya) counter for covered containers counter for matches, battles, etc.]']","['あい', 'い', 'ごう']","['口', '𠆢', '一']",['合'],[2],['象形 Pictographic'],[3],[727812],[706173],['S'],混雑,[' congestion/crush/crowding/jam confusion/disorder]'],['こんざつ'],混雑,[' congestion/crush/crowding/jam confusion/disorder]'],['こんざつ']
1705,同一人物,['n'],どういつじんぶつ,同,344,6,[' the same/the said likewise]'],['どう'],"['口', '冂', '一']",['同'],[2],['会意 Com. Ideographic'],[4],[833380],[827991],['R'],一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],人,49,2,"[' -ian (e.g. Italian)/-ite (e.g. Tokyoite) -er (e.g. performer, etc.)/person working with ... man/person/people,', ' person,', ' man/person human being/mankind/people human (Homo sapiens)/humans as a species character/personality man of talent/true man another person/other people/others adult,', ' counter for people]']","['じん', 'と', 'ひと', 'にん']",['人'],['人'],[1],['象形 Pictographic'],[5],[1757335],[1696029],['P'],物,1502,8,"["" thing/object/article/stuff/substance one's things/possessions/property/belongings things/something/anything/everything/nothing quality reason/the way of things used to emphasize emotion, judgment, etc./used to indicate a common occurrence in the past (after a verb in past tense)/used to indicate a general tendency/used to indicate something that should happen item classified as .../item related to .../work in the genre of ... cause of .../cause for ... somehow/somewhat/for some reason 10. really/truly,"", ' stock/products stolen goods/loot/spoils]']","['もの', 'ぶつ']","['勿', '牛', '勹']",['物'],[3],['形声 Phonetic'],[4],[276274],[271270],['P'],同一,[' identical/same/one and the same/equal fair/equal treatment/without discrimination]'],['どういつ'],同一,[' identical/same/one and the same/equal fair/equal treatment/without discrimination]'],['どういつ']
1706,一期末代,['n'],いちごまつだい,一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],期,1138,12,"[' period/time opportunity/chance/occasion age term (e.g. in office) session (e.g. of parliament) stage (e.g. of a disease) season (e.g. of a TV series),', ' time/moment/limit time of death/last moment midnight in red-light districts during the Edo period]']","['き', 'ご']","['甘', '月', 'ハ']",['期'],[3],['形声 Phonetic'],[3],[373280],[372411],['P'],末,1143,5,"[' top end/tip,', ' new shoots/new growth (of a tree),', ' end/tip/top end (of the year, month, etc.)/close youngest child descendants/offspring/posterity future (finally) after/(at last) after/at the end of trifles/trivialities degenerate age,', ' the end (of) powder]']","['うら', 'うれ', 'すえ', 'まつ']","['｜', '一', 'ハ', '木', '亠']",['末'],[4],['指事 Ideographic'],[3],[100981],[97460],['S'],代,61,5,"[' substitution material price margin (e.g. for stapling, etc.)/area required for something shiro (unit of land area equal to one-fiftieth of a tan; approx. 19.83 m.sq.),', ' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' charge/cost/price generation/age/(school) year/cohort/reign era a representative of/on behalf of/for (someone) switchboard number counter for decades of ages, eras, etc. counter for generations (of inheritors to a throne, etc.) proxy application company pronoun]']","['しろ', 'よ', 'だい']","['⺅', '弋']",['代'],[3],['形声 Phonetic'],[4],[549569],[504830],['P'],一期,"["" one's whole life/one's lifetime,"", ' one term/one period first term/first period]']","['いちご', 'いっき']",一期,"["" one's whole life/one's lifetime,"", ' one term/one period first term/first period]']","['いちご', 'いっき']"
1707,画一思考,['n'],かくいつしこう,画,1577,8,"[' stroke (of a kanji, etc.),', ' picture/drawing/painting/sketch image (TV, film, etc.)/picture/footage]']","['かく', 'え']","['一', '田', '凵']",['画'],[2],['会意 Com. Ideographic'],[4],[217267],[215393],['S'],一,2,1,"[' one best first/foremost beginning/start a (single)/one (of many) ace (playing card) bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it"") some kind of/one type of, イー', ' one,', ' most/best,', ' one one,', ' one same (mind, path, etc.)]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと', 'いつ']",['一'],['一'],[1],['指事 Ideographic'],[5],[1037182],[848362],['R'],思,805,9,[],[],"['心', '田']",['思'],[2],['形声 Phonetic'],[4],[320430],[320338],['R'],考,1913,6,"["" thought report on one's investigation into ... deceased father]""]",['こう'],"['⺹', '勹']",['考'],[2],['形声 Phonetic'],[4],[207299],[207066],['S'],画一,[' uniformity/standardization/standardisation]'],['かくいつ'],画一,[' uniformity/standardization/standardisation]'],['かくいつ']
1708,琴瑟相和,"['n,vs']",きんしつそうわ,琴,1552,12,"[' koto (13-stringed Japanese zither) stringed instrument zheng (Chinese zither)/guzheng,', ' qin (7-stringed Chinese zither)/guqin]']","['こと', 'きん']","['王', '𠆢']",['琴'],[7],['形声 Phonetic'],[1],[12077],[10224],['S'],瑟,1553,13,"[' se (ancient Chinese plucked zither, usu. with 25 or 23 strings)]']",['しつ'],"['ノ', '王', '心', '丶']",,,,,,,,相,1634,9,"["" one's nature/one's destiny custom/tradition/habit/convention,"", ' together/mutually/fellow,', "" appearance/look/countenance a 'seeming' that fortune-tellers relate to one's fortune aspect phase (e.g. solid, liquid and gaseous),"", ' alternately/in succession,', ' minister of state]']","['さが', 'あい', 'そう', 'こもごも', 'しょう']","['木', '目']",['相'],[3],['会意 Com. Ideographic'],[3],[568804],[555691],['S'],和,372,8,"[' calm (at sea)/lull,', ' sum harmony/peace Japan/Japanese-style,', ' soft/fragile/weak/poorly built/insubstantial,', ' tranquil/calm/quiet/peaceful]']","['なぎ', 'わ', 'やわ', 'のど']","['禾', '口']",['和'],[3],['会意 Com. Ideographic'],[3],[259765],[111315],['R'],琴瑟,[' qin and se (two different kinds of Chinese zither) happy marriage]'],['きんしつ'],琴瑟,[' qin and se (two different kinds of Chinese zither) happy marriage]'],['きんしつ']
1709,自己実現,"['n,vs']",じこじつげん,自,1981,6,[' self- from ... this ... (in contrast to some other ...)/aforementioned]'],['じ'],['自'],['自'],[2],['象形 Pictographic'],[4],[810019],[621663],['R'],己,686,3,"[' oneself (itself, etc.) I/me you by oneself (itself, etc.) interjection expressing anger or chagrin,', ' I/me,', ' 6th in rank/sixth sign of the Chinese calendar,', ' blockhead!/you,', ' I/me,', ' you,', ' I you,', ' oneself/myself I you]']","['おのれ', 'おれ', 'き', 'うぬ', 'おら', 'おどれ', 'な', 'おの']",['已'],['己'],[6],['象形 Pictographic'],[1],[30270],[25044],['P'],実,592,8,"[' truth/reality sincerity/honesty/fidelity content/substance (good) result,', ' fruit/nut seed (in broth) pieces of meat, vegetable, etc. content/substance,', "" truth/reality sincerity/honesty/integrity/fidelity that's right,"", ' seed (of a fruit)/pit/pip/stone tongue (projecting strip on a board that fits into a groove on another board) clitoris core/kernel/heart,', ' the real person/said person real thing/genuine article]']","['じつ', 'み', 'まこと', 'さね', 'そうじみ']","['士', '大', '宀']",['実'],[3],['会意 Com. Ideographic'],[3],[436044],[423855],['R'],現,1548,11,"[' reality/consciousness,', ' present (e.g. government, administration)/current/existing]']","['うつつ', 'つ', 'げん']","['王', '見']",['現'],[5],['形声 Phonetic'],[3],[506680],[506029],['R'],自己,[' self/oneself]'],['じこ'],自己,[' self/oneself]'],['じこ']
1710,税金泥棒,['n'],ぜいきんどろぼう,税,1720,12,[' tax]'],['ぜい'],"['禾', '口', '并', '儿']",['税'],[5],['形声 Phonetic'],[2],[137754],[132146],['S'],金,2461,8,"[' money metal,', ' gold (Au)/golden (color)/gold (medal, cup) valuable/of highest value money/gold coin Friday metal (fourth of the five elements) Jin dynasty (China, 1115-1234)/Chin dynasty/Jurchen dynasty gold general testicles karat/carat,', ' gold gold coin gold colour (color)]']","['かね', 'きん', 'こがね']",['金'],['金'],[1],['象形 Pictographic'],[5],[589350],[516324],['S'],泥,1326,8,[' mud/slush/(wet) dirt/mire thief]'],['どろ'],"['氵', '匕', '尸']",['泥'],[7],['形声 Phonetic'],[2],[6089],[6075],['S'],棒,1212,12,[' pole/rod/stick/baton line/dash spoken monotonously]'],['ぼう'],"['｜', '一', '人', '木', '二', '大']",['棒'],[6],['形声 Phonetic'],[2],[9428],[9419],['P'],税金,[' tax/duty]'],['ぜいきん'],税金,[' tax/duty]'],['ぜいきん']
1711,凡庸愚昧,"['adj-na,adj-no,n']",ぼんようぐまい,凡,212,3,"[' about/roughly/approximately generally/on the whole/as a rule completely/quite/entirely/altogether/totally/not at all (with neg. verb) outline/gist,', ' ordinary/common/mediocre]']","['おおよそ', 'ぼん']","['丶', '几']",['凡'],[7],['象形 Pictographic'],[1],[5003],[4378],['R'],庸,728,11,[' tax paid to avoid forced labor (ritsuryo period)/tax in kind mediocrity]'],['よう'],"['ヨ', '用', '广', '聿']",['庸'],[7],['会意 Com. Ideographic'],[1],[1128],[180],['.'],愚,862,13,[' foolishness/silliness/stupidity/folly I/me]'],['ぐ'],"['心', '田', '冂', '厶', '禸']",['愚'],[7],['形声 Phonetic'],[1],[3412],[3337],['R'],昧,1093,9,[],[],"['｜', '二', '日', 'ハ', '木', '亠']",['昧'],[7],['形声 Phonetic'],[0],[378],[371],['P'],凡庸,[' mediocre/ordinary/commonplace/banal]'],['ぼんよう'],凡庸,[' mediocre/ordinary/commonplace/banal]'],['ぼんよう']
1712,失礼千万,['adj-na'],しつれいせんばん,失,517,5,[' loss (of something)/disadvantage mistake/error/failure flaw/defect error]'],['しつ'],"['ノ', '人', '二', '大']",['失'],[4],['象形 Pictographic'],[3],[123666],[123666],['R'],礼,1689,5,[' thanks/gratitude manners/etiquette bow reward/gift ceremony/ritual]'],['れい'],"['乙', '礻']",['礼'],[3],['形声 Phonetic'],[3],[17036],[14032],['P'],千,289,3,"[' 1,000/thousand]']",['せん'],"['ノ', '十']",['千'],[1],['形声 Phonetic'],[5],[132016],[36665],['R'],万,5,3,"[' completely/absolutely/totally,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']","['｜', 'ノ', '一']",['万'],[2],['象形 Pictographic'],[5],[409412],[404560],['R'],失礼,[' discourtesy/impoliteness excuse me/goodbye to leave to be rude]'],['しつれい'],失礼,[' discourtesy/impoliteness excuse me/goodbye to leave to be rude]'],['しつれい']
1713,迂闊千万,['adj-na'],うかつせんばん,迂,2379,6,[],[],"['干', '辶', '二', '亅']",,,,,,,,闊,2510,17,[],[],"['口', '氵', '舌', '門']",,,,,,,,千,289,3,"[' 1,000/thousand]']",['せん'],"['ノ', '十']",['千'],[1],['形声 Phonetic'],[5],[132016],[36665],['R'],万,5,3,"[' completely/absolutely/totally,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']","['｜', 'ノ', '一']",['万'],[2],['象形 Pictographic'],[5],[409412],[404560],['R'],迂闊,[' careless/stupid/thoughtless/heedless/unobservant/inadvertent/incautious]'],['うかつ'],迂闊,[' careless/stupid/thoughtless/heedless/unobservant/inadvertent/incautious]'],['うかつ']
1714,戦列復帰,"['n,vs']",せんれつふっき,戦,908,13,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/game/competition]']","['いくさ', 'せん']","['十', '⺌', '田', '戈']",['戦'],[4],['会意 Com. Ideographic'],[3],[594059],[592083],['S'],列,226,6,[' row/line/file/column/queue/rank/procession company (of someone)/group/ranks sequence counter for rows]'],['れつ'],"['刂', '歹']",['列'],[3],['会意 Com. Ideographic'],[3],[28900],[28738],['P'],復,782,12,"[' again/once more/once again/another time/some other time also/too/as well/likewise on the other hand/while and/in addition/besides/moreover/furthermore or/otherwise really/how/(what, why) on earth indirect]']",['また'],"['日', '夂', '彳']",['復'],[5],['形声 Phonetic'],[2],[116991],[116951],['R'],帰,699,10,[],[],"['ヨ', '刂', '巾', '冖']",['帰'],[2],['会意 Com. Ideographic'],[4],[84044],[83936],['R'],戦列,[' line of battle]'],['せんれつ'],戦列,[' line of battle]'],['せんれつ']
1715,生活不安,['n'],せいかつふあん,生,1568,5,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (sex) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer blank (e.g. disk)/unused just a little/somehow/vaguely/partially/somewhat/half-/semi- 10. insufficient/incomplete/half-baked/half-hearted/perfunctory 11. cash 12. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself student,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",['生'],['生'],[1],['象形 Pictographic'],[5],[784409],[709119],['S'],活,1338,9,[' living/life judo art of resuscitation action/activity]'],['かつ'],"['ノ', '口', '十', '氵', '舌']",['活'],[2],['形声 Phonetic'],[3],[243149],[242183],['S'],不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],安,582,6,[' cheap rash/thoughtless/careless/indiscreet/frivolous]'],['やす'],"['女', '宀']",['安'],[3],['会意 Com. Ideographic'],[4],[358754],[276286],['R'],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ'],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ']
1716,執務心得,['n'],しつむこころえ,執,470,11,"[' bow (and arrow; esp. of a noble),', ' attachment/obsession/persistence]']","['たらし', 'しゅう']","['ノ', '九', '十', '辛', '土', '立', '丶', '亠']",['執'],[7],['会意 Com. Ideographic'],[1],[34802],[34796],['S'],務,269,11,[],[],"['矛', '力', '夂']",['務'],[5],['形声 Phonetic'],[3],[396197],[340217],['P'],心,787,4,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind/spirit/vitality/inner strength bottom of one\'s heart/core (of one\'s character)/nature centre/center/core/heart heart (organ) Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",['心'],['心'],[2],['象形 Pictographic'],[4],[258654],[256954],['P'],得,779,11,"[' profit/advantage/benefit/gain rebirth in paradise, entering nirvana,', ' to get/to acquire/to obtain/to procure/to earn/to win/to gain/to secure/to attain to be possible]']","['とく', 'う']","['寸', '日', '彳', '一']",['得'],[4],['会意 Com. Ideographic'],[3],[222334],[222136],['S'],執務,"["" performance of one's official duties]""]",['しつむ'],執務,"["" performance of one's official duties]""]",['しつむ']
1717,活字中毒,['n'],かつじちゅうどく,活,1338,9,[' living/life judo art of resuscitation action/activity]'],['かつ'],"['ノ', '口', '十', '氵', '舌']",['活'],[2],['形声 Phonetic'],[3],[243149],[242183],['S'],字,569,6,"[' section of village,', ' character (esp. kanji)/letter/written text handwriting/penmanship the ... word (e.g. ""the L word"" = ""love""),', ' Chinese courtesy name (name formerly given to adult Chinese men, used in place of their given name in formal situations) nickname section of a village]']","['あざ', 'じ', 'あざな']","['子', '宀']",['字'],[1],['会意 Com. Ideographic'],[4],[108230],[103301],['P'],中,16,4,"[' inside/interior/in among/within middle/center/centre during/while/middle/midst/amid interval/gap mean/average second (of three, e.g. sons, volumes)/middle medium grade/medium quality red-light district,', "" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of/of the,', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']","['｜', '口']",['中'],[1],['象形 Pictographic'],[5],[1327113],[846645],['S'],毒,1281,8,[' poison/toxicant harm/evil influence ill will/spite/malice abusive language]'],['どく'],"['土', '母', '亠', '毋']",['毒'],[4],['象形 Pictographic'],[2],[14910],[14884],['S'],活字,[' printing type/movable type printed text/print]'],['かつじ'],活字,[' printing type/movable type printed text/print]'],['かつじ']
1718,綿密周到,"['n,adj-na']",めんみつしゅうとう,綿,1851,14,"[' cotton,', ' cotton plant (Gossypium spp.) batting/wadding/padding]']","['めん', 'わた']","['巾', '糸', '幺', '小', '白']",['綿'],[5],['会意 Com. Ideographic'],[2],[10568],[8624],['S'],密,607,11,[' dense/thick/crowded close (relationship)/intimate minute/fine/careful secret esoteric Buddhism/secret Buddhist teachings]'],['みつ'],"['ノ', '山', '心', '丶', '宀']",['密'],[6],['会意 Com. Ideographic'],[1],[41010],[40919],['S'],周,364,8,"[' Zhou dynasty (China, approx. 1046-256 BCE)/Chou dynasty perimeter counter for laps or circuits]']",['しゅう'],"['口', '土', '冂']",['周'],[4],['会意 Com. Ideographic'],[2],[74380],[67477],['R'],到,232,8,[],[],"['刂', '至', '土', '厶']",['到'],[7],['会意 Com. Ideographic'],[3],[20432],[20424],['S'],綿密,[' minute/detailed/careful/scrupulous/thorough]'],['めんみつ'],綿密,[' minute/detailed/careful/scrupulous/thorough]'],['めんみつ']
1719,簡潔明瞭,"['n,adj-na']",かんけつめいりょう,簡,1789,18,"[' ticket/token/check/receipt label/tag sign/card/plate playing card charm/talisman slip of paper posted on shrine pillars by pilgrims,', ' simplicity/brevity letter/note/correspondence bamboo writing strip (in ancient China)]']","['ふだ', 'かん']","['竹', '日', '門']",['簡'],[6],['形声 Phonetic'],[2],[24121],[24104],['R'],潔,1424,15,[],[],"['糸', '幺', '小', '氵', '土', '刀', '亠']",['潔'],[5],['形声 Phonetic'],[1],[5027],[3591],['S'],明,1087,8,"[' vidya (wisdom) mantra the coming (July 4, etc.),', ' brightness discernment/insight/an eye (for) eyesight/vision nth year in the Meiji era (1868.9.8-1912.7.30),', ' Ming dynasty (China, 1368-1644),', ' clearly/brightly cleanly/purely]']","['みょう', 'めい', 'みん', 'さや']","['月', '日']",['明'],[2],['会意 Com. Ideographic'],[4],[626629],[512392],['S'],瞭,1656,17,[],[],"['小', '日', '并', '目', '𠆢']",['瞭'],[7],['形声 Phonetic'],[1],[568],[469],['.'],簡潔,[' concise/brief/succinct/compact (style)]'],['かんけつ'],簡潔,[' concise/brief/succinct/compact (style)]'],['かんけつ']
